
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
丹 丹 ①丹砂，朱砂。②芗名，汉代以后的首家方士以丹砂、丹汞炼制成的药叫“丹”。引申为丹中药由精炼而出的成品圴称为“丹”。一般为粉末将或颗粒状。如白降丹、紫雪丹、玉枢丹等。
丹毒 丹毒 因其颜色鲜红如丹（朱砂）而称“丹毒”。起病突然，恶寒高热，局部皮肤灼热疼痛，呈均匀的鲜红色，稍有肿胀，并迅速向周围扩散。可朋大小不等的水泡。由于发生的部位不同而有不同的名称。如发生在面部的称“抱头火丹”，或“大头瘟”。生于小腿的称“流火”。生于胸腹部称“内发丹毒。”新生儿丹毒称“赤游风”等。
丹剂 丹剂 多指经加热升华提炼出的含汞、硫等化合物的矿物制剂。外用者多粉末或颗粒状制剂，如红升丹、白降丹之类。又在临床上对某些贵重药物，或有特效而剂量很小的芗剂型也称为丹。内服丹剂并无一定类型，如小回春丹、活络丹是丸剂，玉枢丹是锭剂，化癣丹是汤剂等。
丹田 丹田 ①道家称人身脐下三寸为丹田。②男子精室、女子胸宫所在之处。③经穴名。即石门穴的别称。阴交、气海、关元也有别称为丹田者。但通常指关元穴为丹田。④气功意守部位的名称。两眉间为上丹田，心窝处为中丹田，脐下部为下丹田。
丹溪心法 丹溪心法 （公元1347年）书名。5卷。元·朱震亨（彦修、丹溪）著。后经程充删订校正，复刊于1481年，即今之流通本。卷首医论6篇，然后分列以内科杂病为主和各科症证100篇。每证先引朱氏原论，次记其学生戴元礼的辩证论述，并介绍治疗方剂。其中各病证的附录部分对病名的解释和因、证、治疗等方面，均有扼要的。佤贯穿了“阳常有余，阴常不足”的学说和他对气、血、痰、郁诸病治疗的见解和丰富经验。后附有《丹溪翁传》。今有排印本。
丹溪治法心要 丹溪治法心要 书名。8卷。为丹溪门人所记录。前6卷述内外科证治124条。第7卷述妇科治法11条。第8卷述幼入治法23条。与《丹溪心法》、《脉因证治》、《治法机要》之类可相参证。
单按总按 单按总按 用一个手指切按寸、关、尺某一部位的叫单按．食、中、无名指同时按在寸、关、尺部位上叫总按。单按有利于对个别脉象的了解；·总按有利于各部位脉象之间的纵横比较。
单蛾 单蛾 乳蛾之发生于一侧者。即单侧咽扁桃体炎．
单方　 单方　 简单的方剂，药味不过一、二味、适应证比较单纯。药力专一，收效迅速。多用于一病一证，或急救。如独参汤之用于急救，紫苏叶煎汤加姜汁用于解鱼蟹毒等。
单腹胀 单腹胀 即鼓胀证中之无面部及四肢浮肿者。见鼓胀、水鼓等条，
单盘膝 单盘膝 练坐式气功的一种坐法，盘坐中的一种。条件如双盘膝。其不同处是不取结盘，而是将—侧下腿置于另一下腿上，两脚侧置于另一下肢的膝胭处即可。这种坐式较双盘膝易行，现在练功的人多采用之。
单行 单行 出自《神农本草经》。药物配伍的七情之一。指单用一味药以发挥治疗作用。如甘草、大海之单用于治疗咽喉疾病等。
旦日 旦日 第二天。
旦日夜半 旦日夜半 次日半夜。
但欲寐 但欲寐 ①精神困倦嗜卧其状似睡。②证名。出《伤寒论·辨少阴病脉证并治》。少阴经主症之一。由邪入少阴，心肾阳气衰竭所致。表现为精神淡漠，迷迷糊糊，似睡非睡，似醒非醒的一种朦胧状态。
当促其间 当促其间 缩短治疗的时间间隔。
当归草堂医学丛书 当归草堂医学丛书 书名．清·丁丙辑。初刻10种．刻印于1878年。包括《颅囟经》、《传信适用方》、《卫生宝书》、《太医局诸科呈文》、《产育宝庆集方》、《集生方》、《产宝诸方》、《急救仙方》、《瑞竹堂经验方》、《痃疟论疏》等；1884年增刻《明堂灸经》、《铜人针灸经》二种。
刀圭 刀圭 ①古代一种量药末的器具，形状如刀圭的圭角，一端是尖形，中部略凹陷。一刀圭约等于1／10方寸匕．②古代对医术的一种别称。
刀环 刀环 一种古钱，形狭长而弯，如刀，柄端有圆孔，可以架蛋壳于火上．
刀晕 刀晕 外科手术时精神紧张引起的晕厥．患者突然面色苍白，呼吸急促，出汗，脉细微而数等．
导法 导法 即引导排泻大便的方法。用药液灌肠，或用栓剂塞入肛门，促使大便排出。如蜜煎导法、肥皂导法，猪胆汁导法等。
导气 导气 ①针法术语。即诱导得气指在针刺气不至时，采取各种手法，如按循、令患者加深呼吸等，以促进气至{得气)的方法。②气功术语。意同引气。
导痰安神 导痰安神 用于治疗由痰引起的心胆俱虚，惊悸不寐的方法。常用导痰定志方(天麻、全虫、半夏、胆星、橘红、菖蒲、枳实、茯苓、竹茹)。
导药 导药 用易溶而滑润的药物，制成锭状、柱状或丸状，塞入肛门，使燥结粪便易于排出的方法。
导引 导引 古代的一种健身方法。以肢体运动、呼吸运动和自我按摩相结合为特点。又作“道引”。《庄子·刻意》：“吹响呼吸，吐故纳新，熊经鸟伸，为寿而已矣，此导引之士，养形之人，彭祖寿考者之所好比”。唐·王冰谓：“导引，谓摇筋骨，动支节”。唐·释慧琳《一切经音义》：“凡人自摩自捏，伸缩手足；除劳去烦，名为导引”。古代导引，一般徒手进行，也有的辅以简单器械，以达到行气活血，养筋壮骨，除劳去烦，祛病延年的目的。
导滞通腑 导滞通腑 治疗积滞内停的一种下法。以行气消导药与泻下药合用为其特点。
灯火灸 灯火灸 也称打灯火、油捻灸、灯草灸等．用灯心草蘸香油；点燃后，迅速按在穴位上的一种灸法。灯火灸耳尖点治疗痄腮颇为有效。此外，也用于治小儿惊厥、小儿消化不良、疟疾、胃痛等。
邓苑 邓苑 明代眼科学家。字博望。江西清江县人。编有《一草亭目科全书》，汇集了不少眼科常用疗法和方剂，对药物真伪的辨别等方面，也有所记述。
地苍 地苍 张景岳：“地之苍黑，枯暗如尘。”即无光泽黑灰色。
地穿 地穿 即地穴。
地道 地道 月经通行的道路。地道不通，即月经闭止。
地阜 地阜 运气术语。“水气”降地被　阻碍的意思。
地阁骨 地阁骨 即下颌骨。
地化 地化 运气术语。指“在泉”的变化而影响生物的变化者。如风、热、湿、火、燥、寒等。
地纪 地纪 ①地之六位，指木、火、土、金、水。②即“地维”，引申为地的四极，即四方极远的地方。
地晶 地晶 运气术语。阻碍“木气”降地的一种力量。
地经 地经 大地的道路之意。
地廓 地廓 古解剖学名词。即上下眼睑。
地数 地数 运气术语。指在泉的术理。
地玄 地玄 运气术语。即“火气”降地被阻碍的意思。亥，属水，属北方。
地运 地运 运气术语。指“在泉”的运行。
地支 地支 支：支条，分支。故地支有地气分支的含义。地支有十二个。即子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥。也称十二支。中国古代取用这十二个字的古字意来表示时气变化的阴阳盛衰过程。根据奇数为阳，偶数为阴的规定，称子、寅、辰、午、申、戌为阳支；丑、卯、巳、未、酉、亥为阴支。阳支表示，阴支表示不及，以表示六气盛衰的变化。地支配五行做为方位和季节的符号是：木主寅、卯，属东方，在季节为春；火主巳、午，属南方，在季节为夏；金主申、酉，属西方，在季节为秋；水主亥、子，属北方，在季节为冬；土主四时，辰、戌、丑、未四支为四时之末，故属土，属中央，在季节为长夏。地支配属六气做为三阴三阳的符号是：子午少阴君火；寅申少阳相火；丑未太阴湿土；卯酉阳明燥金；辰戌太阳寒水；巳民族委员会厥阴风木。地支做为一年中十二个月份的符号是：正月寅，二月卯，三月辰，四月巳，五月午，六月未，七月申，八月酉，九月戌，十月亥，十一月子，十二月丑。地支做为一天内时间划分的符号参见时辰条。
地噤 地噤 即地锦。
甸气 甸气 即回食单。
吊脚痧 吊脚痧 病证名．出《痧胀玉衡》。即霍乱转筋。
丁 丁 ①天干名。②通“疔”《素问·生气通天论》：“高粱之变，足生大丁。”③通“葶”。“丁葶”即“葶苈”。
丁福保 丁福保 清代人，与周去青等编《四部总录·医药编》。共收现在医书书目1500余种，其较重要者均附以序、跋、提要等。为研究祖国医学比较重要的工具书。
丁甘仁(1894-1924) 丁甘仁(1894-1924) 近代医学家。名泽周。江苏武进孟河(今常州)人。曾创办上海中医专门学校，女子中医专校、广益中医院。著有《喉痧证治概要》。《丁甘仁医案》为其学生所辑。
丁毅 丁毅 字德刚，明代江浦(今江苏江浦)人。为当时该地名医。他在路上碰到送葬的棺下流血，仔细观察后说：“这是活人，得开棺检查。”丧主不信。到坟地后，他强行开棺，知死者是一个孕妇，诊断后，他针刺其胸，生下一个男孩，孕妇也苏醒过来。著有《医方集宜》、《玉函经》、《兰阁秘方》等书。
丁奚疳 丁奚疳 小儿疳疾，骨瘦如柴，其形似“丁”之证。
定风 定风 温热病后期，由于热盛防阴，往往有虚风内动的现象。治疗这种病象的方剂就叫定风剂，同于滋阴熄风。常用的方剂是《温病条辨》中的大定风珠、小定风珠。
定期之纪 定期之纪 指古代纪年的方法。天干开始于“甲”，地支开始于“子”．“甲子”纪年，三十年为“一纪”，六十年为“一周”。《素问·六元正纪大论》：“凡此定期之纪，胜复正化，皆有常数。”
定神气功 定神气功 一种不拘固定形式的站式气功。不受时间、地点、环境的限制，随便站立，稳定身躯；或高楼凝望，或注视一固定目标。同时进行调整呼吸，意守丹田。目的是为了安定心神．这种站功，必须在站功上有一定基础的人才能练。
定息 定息 气功术语。指使真气固定于丹田穴，不使外泄。和凝神密切相关。
东乡造 东乡造 即东向灶。
东医宝鉴 东医宝鉴 书名。朝鲜人许浚撰。刊于1611年。是一种中国古典医籍的分类选集，分为内景、外形、杂病三大类，记述有证候、病因、治法、方剂、单方、针灸等内容，资料尚称丰富，今有影印本。
东垣十书 东垣十书 丛书。辑人不详。刊行于15世纪初叶，收集李东垣及其同代重要医家的10种著作。有《脾胃论》、《内外伤辨惑论》、《兰室必藏》、《脉诀》、《局方发挥》、《格致余论》、《医经溯洄集》、《此事难知》、《汤液本草》、《外科精义》。另外一种刻本增加有《医垒元戎》、《斑论萃英》二种。
东苑 东苑 帝王的园林。
冬石 冬石 石脉，即沉脉，或称“营”。冬季的正常脉象。冬季气候寒冷，是阳气闭藏，万物归根的季节。肾脉和冬脉相应，所以出现稍沉的脉象。正常应是重按应指搏动，如果象弹石一样坚硬就是太过，主病在外部；如脉去虚数就是不及，主病在内部。参见《素问·玉机真脏论》。
冬应中权 冬应中权 是对冬季正常生理脉象的形容。“权”是秤砣。冬脉属肾，脉象稍沉，应该象秤砣那样沉沉下垂而搏动的样子，就是“冬应中权”的含义。参见《素问·脉要精微论》。
动功 动功 气功类别之一。和“静功”相对而言。动功也就是“外功”。练功时，可看到练功者的神志和形态都处于活动状态，故称“动功”。但动功也是相对的，因其要求“精神内守，意志专一”，所以动中有静。
动脉 动脉 ①脉象之一。脉形如豆，厥厥而动摇，滑数有力，搏动部位较局限，节律不匀。见于惊恐及痛证。②可触及脉搏搏动之处。
动气 动气 ①针刺时引起的经气。②气突突然地跳动。
动中 动中 气急咳嗽。
冻产 冻产 指天冷影响了产妇的分娩。见宋·杨子建《十产论》。
冻疮 冻疮 病名。又称冻风。出《诸病源候论》，指严寒冷风所致面、手、足等外露部分的红肿、起疱、坏死、溃烂等症。
抖法 抖法 推拿正骨手法。用于腰、肩、肘、脊柱等处的软组织损伤，双手或单手握住受伤部位灼远端，用力拔伸，并向上下前后各方抖动。有放松肌肉，滑利关节等作用。
斗历 斗历 古代历法的一种。北斗七星，形似勺，称斗勺。其中五、六、七星组成斗柄。斗柄随季节的不同而转动。如斗柄指东为春，斗柄指指南为夏、指西为秋、指北为冬。用这种方法测定季节的叫斗历。
豆豆 豆豆 连绵词，形容品行好的样子，《灵枢·通天》：“阴阳和平之人，其状豆豆然”。
豆豉饼灸 豆豉饼灸 用黄酒调和淡豆豉末，制成厚约二分的厕饼，上放艾炷施灸的一种间接灸法。多用于痈疽发背溃后久不收口，创面颜色发暗者。有促进创口愈合的作用。
豆豉灸 豆豉灸 即豆豉饼灸。
妒乳 妒乳 病证名。又名螳螂子。出自明·秦景明《幼科全鍼》。
兑发 兑发 即两鬓处的发际。
对口 对口 即脑疽。发生于枕骨到大椎之间的痈疽。因其正对着口腔故称之。
对脑发 对脑发 发背之对脑而生者。
对脐发 对脐发 即下发背，因其对脐，故名之。
对心发 对心发 即中发背，因其对心，故名之。
对峙 对峙 相对应的脉象。如浮、沉、迟、数、虚、实、滑、涩、大、小、长、短、洪大、微细、紧、缓等，都是相对峙的脉象。
多汗 多汗 证名。出《素问·脉要精微论》等篇。指无气温升高、活动，服药等因素而汁出异常。
多寐 多寐 病证名。见《杂病源流犀烛，不寐多寐源流》。即嗜卧。见该条。
多梦 多梦 睡即作梦而影响休息。多因情郁伤肝或气血不足引起。
多忘 多忘 即健忘。指记忆力差．
多卧 多卧 即嗜卧。
夺命 夺命 穴位名。位于上臂前外侧，当肩锅穴与尺泽穴连线之中点处。
夺血 夺血 ①指失血。②因血汗同源。对于已经津液不足的病人，虽然没有出血现象，强行发汗也会影响到血液。故此，也称之谓“夺血”。
夺血者无汗，夺汗者无血 夺血者无汗，夺汗者无血 语出《灵枢·营卫生会》。夺，失去的意思。无与“勿”相通，不要的意思。血和汗同出一源，治疗上应该注意。已经失血的病人，不要再用汗法进行治疗；发汗过多的人，不要再伤其血。否则就会使病人脱水、失血，造成医疗错误，加重病情。
儿门 儿门 产儿的门户，即妇女阴道外口。
耳 耳 ①五官之一，产生听觉。②“肾开窍于耳”，肾气调和，耳的听力就会聪敏，若肾气亏虚，就要影响听力，出现耳鸣，听力减退等。所以老年人肾精虚衰，髓海不足，多见耳聋失聪。
耳背高骨 耳背高骨 推拿部位名。又名耳后高骨。在耳后乳突后缘微下处凹陷中。用揉按法可治惊风抽搐，烦燥不安，外感头痛等。
耳闭 耳闭 即耳聋。
耳疮 耳疮 出《济生方》。泛指耳部化脓性炎症睡皮肤病。
耳底痛 耳底痛 即耳痛。
耳定 耳定 ①耳菌之一，形如梅子，触之痛不可忍。②耳菌之被感染者。
耳发疽 耳发疽 耳部的急性化脓性炎症，如痈、疖、溃疡等。
耳防风 耳防风 见《喉科秘旨》。指外耳道及耳廓部的急性炎症。由肝胆三焦火盛引起。可见头痛、外下道及耳廓红肿。溃者出脓，影响开口和咀爵。
耳根毒 耳根毒 生于耳根周围的肿疡。
耳根痈 耳根痈 即耳根毒。
耳垢 耳垢 盯眝的俗称。
耳后发疽 耳后发疽 发于耳褶之意的疖肿。
耳菌 耳菌 出《证治准绳》。指外耳道皮肤上所生之小赘瘤，头大蒂小，形如蘑菇。又因其形状的不同，而有“耳痔”、“耳挺”等名称。类似外耳道乳头状瘤。
耳壳 耳壳 耳廓最外一圈，游离曲而成耳壳。又称耳轮。
耳孔 耳孔 即外耳道。
耳廓 耳廓 耳突出部的总称。
耳烂　 耳烂　 出《疮疡经验全书》。指耳廓及外耳道的糜烂。可见耳廓及外耳道皮肤的糜烂、红肿、渗水。多由中耳化脓破溃外流浸淫皮肤所引起。其中的部分属于外耳道湿疹。
耳聋　 耳聋　 听力障碍称“耳聋”。
耳门 耳门 ①耳前之屏间切迹。②穴位名，位于耳屏上切迹前方凹陷处。
耳门骨 耳门骨 又名玉梁骨。即下颌骨的关节突。
耳泌 耳泌 指小儿耳内炎症而有分泌物流出者。
耳鸣　 耳鸣　 出《灵枢·海论》等篇。为不自主的耳部鸣响。实证多由肝火上逆，或痰火所致；虚证多属肾阴亏损，或中气下陷。实证耳鸣粗壮；虚证耳鸣声细弱。实证多用龙胆泻肝汤泄肝热，或温胆汤加黄连、栝楼去痰火。虚证用六味地黄丸滋阴补肾，或补中益气汤补益中气。
耳窍 耳窍 即外耳道。
耳生烂疮 耳生烂疮 证名。见《杂病源流犀烛》。指耳部发炎溃烂。多因局部擦伤或湿疹等继发感染所致。
耳挺 耳挺 耳菌状如枣核者。
耳痛 耳痛 耳部炎症所引起的疼痛。可分为耳底痛、耳心痛两类。久之，可出现听力障碍。
耳心痛 耳心痛 即耳痛。
耳眩 耳眩 即耳屏。
耳痒 耳痒 由肝风扰动，肾火上炎所致。表现为耳中奇痒难忍，耳中皮肤逐渐变厚。
耳痈 耳痈 指外耳道的急性化脓性炎症。多由于肝肾阴耗，火逆上冲所致。可见外耳道红肿壅闭，下根部皮肤胀痛等，破溃流脓后痊愈。类似外耳道疖肿。
耳针 耳针 是一种施针范围局限于耳部的针刺疗法。根据经络学说的理论，耳部和脏腑与机体各部都有一定的联系。耳部各处的压痛点、敏感点反映机体相应部位病变。通过相关器官敏感点的分布可以看出耳壳类似一个倒卧的婴儿。耳针治疗时，用一寸或半寸的短毫针，或掀针。先用针柄或耳穴探测器探测有关病症的敏感点，然后施针。一般五至十次为一疗程。用掀针埋藏，一般不超过一个星期。
耳痔 耳痔 耳菌的一种。形似樱桃、羊乳者。
耳中痹医 耳中痹医 指耳目科医生。痹，闭阻不通。《史记＝扁鹊仓公列传》：“扁鹊过雒阳闻周人爱老人，即为耳目痹医。”
耳中结核 耳中结核 即耳菌感染者。
耳作蝉鸣 耳作蝉鸣 即耳鸣。
耳疔 耳疔 出《疮疡经验全书》。指生于外耳道内之疖肿。由肾经火毒所发。为椒目样的小疖，顶尖根硬，疼痛剧烈，可破溃流脓。
耳疳 耳疳 指外耳道轻度肿胀，且经常流出腥臭脓液的病证。多由湿热内蕴，肝火上扰所致。脓液偏于黑色者叫“下疳”，脓液偏于黄色者，叫：“眝耳”。脓液偏于青色者叫“震耳”。脓液偏于白色者的叫“缠耳”。脓液偏于红色者的叫“风耳”。实际上是一种病，其颜色不同，可能与不同的细菌感染有关。
耳衄 耳衄 即耳出血
二不足 二不足 指尿频急，桡动脉微细如发。
二干 二干 古人将十天干分为“刚”、“柔”两个部分，称为二干。奇数(单数)为“刚干”：皿、丙、戊、庚、壬，也即阳干；偶数(双数)为“柔干”：乙、丁、己、辛、癸，也即阴干。《素问·刺法论》：“刚柔二干，失守其位，使天运之气皆虚乎？”
二候 二候 ①天、地、人三候之二。②伤寒传经到第十四天。
二皇 二皇 指伏羲、神农。《素问·著至教论》：“著至教，疑于二皇。”
二节 二节 指阴茎和睾丸。《灵枢·邪客》：“女子不足二节，以抱人形”。(女子是没有睾丸和阴茎的人)。
二毛 二毛 头发斑白；也指头发斑白的老人。
二气 二气 ①指阴气和阳气。《易·咸》：“二气感应以相与。”②指阴阳不调和。《淮南子·说山训》：“天二气则成虹，地二气则泄藏，人二气则成病”。
二十八脉 二十八脉 ①指常见的二十八种脉象。即：浮、沉、迟、数、虚、实、滑、涩、长、短、洪、微、紧、缓、弦、芤、革、牢、濡、弱、散、细、伏、动、促、结、代、疾。②二十八条经脉，即左右十二条正经合计的二十四条经脉，加上任督、阴跷、阳跷四脉，总称二十八脉。
二十八宿 二十八宿 二十八个星宿名。也叫二十八舍。与运气学说有关。古代用以标志日月、五星(金木水火土)等天体的运行方位。由东南起，向东、向北、向西、向南分布，即：角、亢、氐、房、心、尾、箕为东方七宿；斗、牛、妇、虚、危、室、壁为北方七宿；奎、娄、胄、昴、毕、觜为西方七宿；井、鬼、柳、星、张、翼轸为南方七宿。合计二十八宿。
二十四步 二十四步 天文学用语。与运气学说有关，指四年的时间。地球绕天一击的六分之一为一步，每年约行六步，每步为六十度。六六三百六十度为一周，一周恰为一年。《素问·六微旨大论》：“故二十四步积盈百刻而成日也。”
二竖 二竖 《左传·成公十年》：“公疾病，求医于秦，秦伯使医缓为之，未至。公梦疾为二竖子曰：‘彼良医也，惧伤我，焉逃之？’其一曰：‘居肓之上，膏之下，若我何？’”竖，小孩。故后世以“二竖”做为病魔的代称。
二阳併病 二阳併病 出《伤寒论·辨太阳病脉证并治》。指伤寒六经辩证中两个阳经同时患病。即一个阳经的症状未除，另一个阳经的症状又出现，如先见太阳病发热、头痛、恶寒，又见欲呕，胸胁痛等的少阳证候等。
二阳三阴 二阳三阴 指阳明与太阴。《素问·阴阳类论》：“马莳注：“二阳者，足阳明胃经也，三阴者，手太阴肺经也”。
二阳一阴 二阳一阴 ①指阳明与厥阴《素问·阴阳类论》：“二阳一阴，阳明主病。”王冰注：“一阴厥阴，肝木也。二阳明，胃土气也。”②刺阳经二次，阴经一次。《灵枢·终始》：“刺寒厥者，二阳一阴。”刺阳经二，用补法；刺阴经一次，用泻法。
二阴 二阴 ①指少阴。《素问·大奇论》：“二阴急，为痫厥”。张景岳注：“二阴，少阴也”。②外生殖器与肛门。《素问·金匮真言论》：“北方黑色人通于肾，开窍于二阴”。
二阴二阳 二阴二阳 指少阴与阳明。《素问·阴阳类论》王冰注：“二阴谓手少阴心之脉也，二阳亦胃脉也”。
二阴一阳 二阴一阳 ①指少阴与少阳。《素问·阴阳类论》：“二阴一阳，病出于肾。”马莳注：“此言肾与三焦为病者，肾胜而三焦负也。二阴者，足少阴肾经也。一阳者，手少阳三焦也”。②刺阴二次，阳经一次。《灵枢·终始》：“刺热厥者，二阴一阳。”谓刺阴经一次，用补法；刺阳经一次，用泻法。
二之气 二之气 运气学名词。一年中的第二次主气。时间从“春分”到“立夏”之末，共六十天八十七刻半，在“六气”中属“暑”。《素问·六微旨大论》：“二之气，始于八十七刻六分，终于七十五刻”。
发 发 病情严重的体表痈疽。
发白 发白 由于肝肾亏损，阴血不足产生的青少年或中年出现大量白发现象。
发斑伤寒 发斑伤寒 病名。见《通俗伤寒论》。分阳证发斑和阴证发斑两类。阳证斑色鲜红，毒盛者转为紫黑。阴证斑隐约细小，色微红，并伴寒象。
发背 发背 指背部所生的有头疽。即背部痈。因所生部位的高下不同，而有“上发背”，“中发背”、“下发背”的不同名称。其原因多由于过食高粱厚味，火毒内盛，又加外感风邪，以致气血瘀凝，经络阻　隔，发为疽毒。初起为一硬结，痛痒，继而渐次向周围扩大，疮头相继增多，疼痛加重。疮内化脓腐烂，形状如蜂窝。并伴有高热、恶寒、头痛、不欲食等中毒症状。以后，腐肉脱落，脓液排尽，逐渐生肌收口。由于疽症未溃前有多数脓点，很象莲蓬，故有“莲蓬发”之称；溃烂后，形台蜂窝，又有“蜂窝发”之称。
发表不远寒 发表不远寒 主出《素问·六元正纪大论》。远，忌、怕的意思。风寒在表，要用辛温药发表，即发表不应当怕用热药。
发陈 发陈 万物推陈出新，生气勃勃叫“发陈”。指立春到立夏的春季三个月3植物的生发情况。
发迟 发迟 五迟之一。指小儿初生无发，日久不长，长亦稀疏萎黄的现象。
发烦目瞑 发烦目瞑 即心中烦燥，两眼发昏。
发汗 发汗 即发汗疗法，汗法是中医治疗八法之一。
发黄 发黄 ①头发色黄。②身体发黄色。
发际 发际 ①经外奇穴名。位于前额发际中点处。②指头发之边际部。
发际疮 发际疮 ①指发生于头皮发际边缘处的小脓痂疮。多发生在后项部的头发边缘处。初起如小泡样，破后流黄水，结痂，易向周围蔓延。
发枯 发枯 毛发枯燥不润泽。多为肾虚血热，阴血不能濡养毛发所致。
发落 发落 病证名。指头发渐落稀疏，枯燥无泽，细软而黄；重者可全部脱落。多与肾虚和务虚有关。
发眉疮 发眉疮 发生于眉至额部处，初起肿胀，色黑质悲观，剧痛，甚则闷乱呕逆，溃烂成疮。
发脑 发脑 生于枕部的头疽。
发泡 发泡 用烧灼或敷以刺激性的药物使皮肤发泡以治疗疾病的方法。如痄腮用灯草蘸香油点燃，烧灼耳廓尖部，使之起小泡的治疗方法。
发热 发热 证名，也称身热。指体温高出正常范围，可归纳为外感和内伤两个方面。外感者多属于实，内伤者多属于虚。由于发热的表现和时间等不同，故有壮热、灼热、微热、发热恶寒、恶热、寒热往来、潮热、日晡发热等的区别。也有病人体温不高而出现热象者，如五心烦热，手足心热等。
发热恶寒 发热恶寒 即发热怕冷。
发如夺索 发如夺索 脉搏来时象拔河的绳子。夺索，即拔河。
发生 发生 运气术语。土运太过的年份，生机旺盛，故称为“发生”。
发为血之余 发为血之余 血之余的血指肝血。古人认为头发是靠肝血来营养的。少年时肝血旺盛，头发光泽茂密，年老时肝血不足，头发斑白易于脱落。
发芽 发芽 指使豆、谷、麦类药材发芽以作药用的一种炮制方法。如谷芽、麦芽、稻芽、豆芽等。
发颐 发颐 病名，又名颐发、汗毒，初起恶寒发热，面颊一侧出现肿块，渐渐发展到耳前，破溃后注预见臭脓，重者可影响吞咽和呼吸。
发针 发针 即出针。
发指 发指 即蛇头疔。
法制 法制 有特殊规定的中药炮制法。有“如法炮制”的涵义。
反 反 ①治法之一。即反治法。②药物的拮抗。③惊风八候之一。《古今医鉴》：“反者，身仰向后。”
反关脉 反关脉 一一种生理性桡动脉异位。即桡动脉下端循行于腕关节的背侧。这种情况既可见于单侧，也可见于双侧，不属于病脉。
反克 反克 即相侮、倒克。
反胃　 反胃　 指进食后经久不下，胃部胀满，被迫吐出，吐出后感觉舒适的现象。嗜食生冷，脾阳受损，致使脾胃虚寒，消化无力；或胃病日久，湿热凝滞，胃失和降，均可出现反胃。
反侮 反侮 即反克、相侮、倒克。
反阳 反阳 运气术语。水运不及的年份，火来侮水，阳气反而亢盛，称“反阳”。
反折瘛疭 反折瘛疭 身背反张，手足抽掣。类似伸肌紧张性痉挛。
反治 反治 语出《素问＝至真要大论》。治法的一种，有些复杂严重的的疾病，其外在表现往往与它的本质不相一致，甚至出现假象。如真热假寒、真寒假热等。在治疗上时就要透过现象看本质，采用与其外在表现相同而其本质相反的药物和措施去治疗。这种治法，由于药性与外在症状相一致通过，顺从了疾病的假象。所以，又称“从治”。实质上，反治法就其本质而言，仍然是正治法。
反佐法 反佐法 反治法之一。有两种含义。一是处方中药物组成的反佐法，即寒药中佐以热药，热药中佐以寒药，作为引药。一是汤药内服的反佐法，即热药冷服，寒药热服，以避免出现格拒。
反作 反作 即反常　。
范汪 范汪 晋代名医，字玄平；因曾任东阳太守，故又称范东阳。颖汨(今河南许昌)人。据《古今医统》记载，他精于医术，为人治病，十愈八九。收集民间单验方，撰成《范东阳杂药方》(又称《范汪方》)。原书已佚，部分内容散见于《外台秘要》等书中．
饭醉 饭醉 出《杂病源流犀烛·不寐多寐源流》。指饭后昏倦欲睡的一种病证。多由脾气虚弱，不胜食气所致。
泛恶 泛恶 即恶心。欲呕吐而未吐，或仅口中泛溢清涎。
芳香化湿 芳香化湿 是中医的一种祛湿疗法。具有芳香化湿，辟秽祛浊的作用。适用于湿浊内盛，脾失健运所致的脘腹胀满、嗳气吞酸、呕吐泄泻、食少体倦等症。
方 方 ①医方、方药、方剂之简称。②九针的一种，用以行补法。
方寸 方寸 ①指心。②精神之所在。
方寸匕 方寸匕 古量器名。绝等于2.74毫升，矿物药末2克，草木药末1克左右。
方骨 方骨 即骶骨。
方剂 方剂 简称方。方指医方。剂，古作齐，指调剂。方剂是治法的体现，是根据配伍原则和医师的临床经验，以若干药物配伍组成的中医处方。
方剂配伍 方剂配伍 即主、辅、佐、使的配伍原则。
方剂学 方剂学 是中医治疗学的主要组成部分，为中医治疗法则在药物配伍和调剂上的体现，是治疗和预防经验　总结。方剂一般由两味以上药物配伍而成。但也有例外，如“独参汤”只有人参一味。方剂中药味多少是由治疗原则决定的。如气虚用四君子汤：党参、白术、茯苓、甘草补气；血虚用四物汤：当归、地黄、白芍、川芎补血；气血两虚用四君子汤加四物汤治疗。特称“八珍汤”。药味相同，但用量不同，也或根据组成两个方剂。如厚朴三物汤和小承气汤均有厚朴、大黄、枳实组成，前者重用厚朴解除所机不畅千万的腹满便秘；后者重用大黄，清热攻积，解除潮热便硬的腑实证。经过炮制后的方剂，可以增强药效或产生新的作用。如大承气汤：大黄加枳实、厚朴、芒硝，可以明显增强泻下作用；芍药甘草汤中，白芍和甘草配合可治腹痛，并不等于两味药物作用的相加。另外，方剂中的某些芗是为了减轻毒性或副作用的，如十枣汤中的大枣能抑制甘遂、大戟、芫花等药物毒性，防止损伤正气。方剂是服从治疗原则的，临玣时应根据病情加减化裁，不可拘泥。
方上 方上 即鼻翼处。
方士 方士 ①医生。②懂的方术的人。
方士不能废绳墨 方士不能废绳墨 即医生不能违犯治疗法则。绳墨，木匠划线用的墨线和墨斗。引申为法则。
