
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
白帝 白帝 迷信的说法，五天帝之的主西方者。
白矾灸 白矾灸 是一种冷淋灸法。方法：将白矾末填脐中，以新汲冷水滴之。患热证大小便不通，用本法在患者感到凉透腹内时，可使大小便通畅。
白粉 白粉 指白米粉。
白给 白给 即白及。别名白芨。
白喉 白喉 与今称之白喉同。初有发热，咽部如扁桃体发红，继而出现白点，渐次扩大呈灰白色伪膜，紧附于组织上，不易除去，若勉强除去，可引起出血。白膜很快蔓延达喉部、鼻部而影响呼吸，严重者引起窒息。并可伴有中毒症状，如脉数而微弱或结代，面白四肢冰冷等。在临床过程中，应密切注意，预防厥、脱之证的出现。
白喉忌表抉微 白喉忌表抉微 书名。又名《白喉忌表抉微》。清·耐修子撰。1卷。刊于1891年。书中反对治疗白喉时发表，主张用养阴清肺法进行治疗。并记有少验方。有多种刊本，流传较广。
白喉全生集 白喉全生集 书名。清·李季方撰。1眷顾。以寒热为大纲。寒热中又分轻重、虚实。对白喉的论治较为精详。
白喉条辨 白喉条辨 书名。又名《瑞安陈氏白喉条辨》。清·陈葆善撰。1卷。刊于1897年。包括辨白喉病源、经络、脉证、救误、善后、外治、禁忌等部。为治疗白喉病的专集。
白喉证治订误 白喉证治订误 书名。清·韩善澂撰。1卷。本书作者见《重楼玉钥》过于简略，乃在其基础上加以发挥，并修改其不当之处而成。
白虎风 白虎风 即历节。
白虎历节 白虎历节 即历节。又名痛风。
白虎摇头 白虎摇头 古刺法。也称赤风摇头。出《金针赋》。方法是进针后，先插针左转，一呼一摇，后提针右转，一吸一摇。以六为基数计算操作次数。有活血行瘀的作用。
白茧唇 白茧唇 即茧唇。
白睛 白睛 又名白仁、白珠、白眼、气轮，即眼珪的白色部分。相当于巩膜的部分。
白睛飞血 白睛飞血 眼证名。即赤丝乱脉。
白睛青蓝 白睛青蓝 病证名。又名目珠俱青。为患火疳后，在巩膜处遗留的紫蓝色或青灰色斑。
白睛溢血 白睛溢血 眼证名。又称色似胭脂症。即眼球结膜下出血。
白垒 白垒 即白藟，葛类。《素问·大奇论》：“白垒发死。”
白痢 白痢 下利白色如涕或纯白为白色粘液的痢疾。
白漏 白漏 ①阴道流出大量白色液体，终日不断，质稀如水。②即白淫。
白霉舌 白霉舌 舌面溃烂，上敷白膜，或小溃疡上附白膜如小点，疼痛。多因胃中极热，津液化腐所致。
白面痧 白面痧 指麻疹出疹时面色苍白者。临床见于大汗、泄泻及体弱的病儿。为中气大亏，脾阳不运所致，常伴有透疹不全，肢冷，唇紫等症。
白膜 白膜 眼生膜，其血丝色淡而稀疏者称白膜。
白膜侵睛 白膜侵睛 眼证名。多为泡性结膜炎。表现为角膜巩膜交界处出现灰白色小光，并能侵至角膜，严重时，小泡可融合成片，愈后留有翳，有复发倾向。
白培 白培 湿温病程中出现在颈、项、胸、腹等处皮肤的细小的水泡。这是湿热郁阻，逗留气分，淹滞不解，郁蒸皮肤，蕴酿而成。
白气微泄 白气微泄 即肺气微泄，为肺之主色。微泄，虚的表现。
白仁 白仁 即白睛。
白刃疔 白刃疔 鼻疔的一种，其色白者。
白如枯骨 白如枯骨 语出《素问·五脏生成》。是肺之真脏之色。形容颜色苍白干枯而无光泽。见于严重失血、各种原因引起的贫血、营养极度不良等病证。实际上并不是肺病所独有的症状颜色。
白涩症 白涩症 眼证。出《审视瑶函》。俗称白眼。表现为眼部“不肿不赤，爽快不得，沙涩昏蒙”而无明显外证。
